         637770 function calls (617981 primitive calls) in 0.562 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      644    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
        4    0.000    0.000    0.002    0.000 _common.py:1(<module>)
      125    0.001    0.000    0.002    0.000 enum.py:254(__set_name__)
        1    0.000    0.000    0.002    0.002 httpsession.py:1(<module>)
     1152    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
     1932    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
  122/108    0.000    0.000    0.002    0.000 session.py:318(get_config_variable)
      655    0.001    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
      204    0.001    0.000    0.002    0.000 client.py:557(_create_api_method)
     4942    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
       98    0.000    0.000    0.001    0.000 configprovider.py:779(provide)
        1    0.000    0.000    0.001    0.001 array_manager.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _function_base_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 scimath.py:1(<module>)
      148    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.001    0.001 numerictypes.py:1(<module>)
      775    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
      102    0.000    0.000    0.001    0.000 session.py:389(get_scoped_config)
        1    0.000    0.000    0.001    0.001 pathlib.py:1(<module>)
        1    0.000    0.000    0.001    0.001 docscrape.py:118(NumpyDocString)
        1    0.000    0.000    0.001    0.001 getlimits.py:166(_register_known_types)
      274    0.001    0.000    0.001    0.000 enum.py:1562(__and__)
     5338    0.001    0.000    0.001    0.000 typing.py:1626(<genexpr>)
        1    0.000    0.000    0.001    0.001 engines.py:1(<module>)
      490    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
        4    0.000    0.000    0.001    0.000 managers.py:951(MakeProxyType)
        4    0.000    0.000    0.001    0.000 ssl.py:430(__new__)
        1    0.000    0.000    0.001    0.001 resource.py:1(<module>)
        2    0.000    0.000    0.001    0.001 pytables.py:1(<module>)
     7466    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        1    0.000    0.000    0.001    0.001 adaptive.py:1(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:378(__init__)
      470    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
        2    0.000    0.000    0.001    0.001 sysconfig.py:734(get_config_var)
      4/3    0.000    0.000    0.001    0.000 sysconfig.py:704(get_config_vars)
        1    0.000    0.000    0.001    0.001 sysconfig.py:639(_init_config_vars)
        5    0.000    0.000    0.001    0.000 warnings.py:133(filterwarnings)
      779    0.001    0.000    0.001    0.000 __init__.py:101(find_spec)
        1    0.000    0.000    0.001    0.001 apply.py:1(<module>)
     5726    0.001    0.000    0.001    0.000 _parser.py:256(match)
       16    0.000    0.000    0.001    0.000 dataclasses.py:449(_create_fn)
       14    0.000    0.000    0.001    0.000 core.py:113(doc_note)
        1    0.000    0.000    0.001    0.001 _scimath_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 filepost.py:1(<module>)
       90    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
        1    0.000    0.000    0.001    0.001 ElementPath.py:1(<module>)
       12    0.000    0.000    0.001    0.000 typing.py:1589(copy_with)
        2    0.000    0.000    0.001    0.001 action.py:1(<module>)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        2    0.000    0.000    0.001    0.001 client.py:250(_register_retries)
